ID	xref	prefLabel
ID	A OboInOwl:hasDbXref	A skos:prefLabel
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220530		ventricular zone of PO
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220532		mantle zone of PO
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220534		ventricular zone of SPall
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220536		mantle zone of SPall
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220538		ventricular zone of CSPall
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220540		mantle zone of CSPall
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220542		periventricular stratum of CSPall
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220544		intermediate stratum of CSPall
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220546		superficial stratum of CSPall
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220548		ventricular zone of Pall
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220550		mantle zone of Pall
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220552		ventricular zone of DPall
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220554		mantle zone of DPall
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220556		periventricular stratum of DPall
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220558		intermediate stratum of DPall
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220560		superficial stratum of DPall
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220562		ventricular zone of MPall
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220564		mantle zone of MPall
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220566		periventricular stratum of MPall
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220568		intermediate stratum of MPall
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220570		superficial stratum of MPall
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220572		layer 6a of PaS
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220574		layer 6b of PaS
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220576		ventricular zone of p3Ch
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220578		mantle zone of p3Ch
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220580		ventricular zone of p3APV
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220582		mantle zone of p3APV
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220584		ventricular zone of p2Ch
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220586		mantle zone of p2Ch
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220588		ventricular zone of p2AL
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220590		mantle zone of p2AL
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220592		ventricular zone of p2AAV
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220594		mantle zone of p2AAV
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220596		ventricular zone of PcP
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220598		mantle zone of PcP
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220600		ventricular zone of JcP
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220602		mantle zone of JcP
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220604		ventricular zone of CoP
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220606		mantle zone of CoP
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220608		ventricular zone of p1AVL
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220610		mantle zone of p1AVL
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220612		ventricular zone of isADL
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220614		mantle zone of isADL
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220616		ventricular zone of isB
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220618		mantle zone of isB
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220620		ventricular zone of r1A
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220622		mantle zone of r1A
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220624		periventricular stratum of r1Ve
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220626		intermediate stratum of r1Ve
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220628		superficial stratum of r1Ve
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220630		periventricular stratum of r1Tr
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220632		intermediate stratum of r1Tr
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220634		superficial stratum of r1Tr
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220636		periventricular stratum of r1Lim
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220638		intermediate stratum of r1Lim
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220640		superficial stratum of r1Lim
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220642		ventricular zone of r1B
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220644		mantle zone of r1B
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220646		ventricular zone of r2A
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220648		mantle zone of r2A
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220650		periventricular stratum of r2Co
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220652		intermediate stratum of r2Co
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220654		superficial stratum of r2Co
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220656		periventricular stratum of r2Ve
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220658		intermediate stratum of r2Ve
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220660		superficial stratum of r2Ve
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220662		periventricular stratum of r2Tr
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220664		intermediate stratum of r2Tr
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220666		superficial stratum of r2Tr
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220668		periventricular stratum of r2Lim
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220670		intermediate stratum of r2Lim
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220672		superficial stratum of r2Lim
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220674		ventricular zone of r2B
https://purl.brain-bican.org/ontology/dmbao/DMBA_111220676		mantle zone of r2B
